DB,Terms,Gene coverage,Genes per term,Category,is_latest,Description
MGI_Mammalian_Phenotype_Level_4,476,10493,200,Ontologies,FALSE,"MGI is the international database resource for the laboratory mouse, providing integrated genetic, genomic, and biological data to facilitate the study of human health and disease."
MGI_Mammalian_Phenotype_Level_4_2019,5261,13420,32,Ontologies,FALSE,"MGI is the international database resource for the laboratory mouse, providing integrated genetic, genomic, and biological data to facilitate the study of human health and disease."
MGI_Mammalian_Phenotype_Level_4_2021,4601,9767,33,Ontologies,TRUE,"MGI is the international database resource for the laboratory mouse, providing integrated genetic, genomic, and biological data to facilitate the study of human health and disease."
Microbe_Perturbations_from_GEO_down,312,15854,279,Crowd,TRUE,From gene expression omnibus (GEO)
Microbe_Perturbations_from_GEO_up,312,15015,321,Crowd,TRUE,From gene expression omnibus (GEO)
miRTarBase_2017,3240,14893,128,Transcription,TRUE,NA
MoTrPAC_2023,225,10428,115,Cell Types,TRUE,Molecular Transducers of Physical Activity Consortium
Mouse_Gene_Atlas,96,19270,388,Cell Types,TRUE,From BioGPS
MSigDB_Computational,858,10061,106,Diseases/Drugs,TRUE,Human Molecular Signatures Database
MSigDB_Hallmark_2020,50,4383,146,Pathways,TRUE,Human Molecular Signatures Database
MSigDB_Oncogenic_Signatures,189,11250,166,Diseases/Drugs,TRUE,Human Molecular Signatures Database
NCI-60_Cancer_Cell_Lines,93,12232,343,Cell Types,TRUE,From BioGPS
NCI-Nature_2015,209,2541,39,Pathways,FALSE,NA
NCI-Nature_2016,209,2541,39,Pathways,TRUE,NA
NIH_Funded_PIs_2017_AutoRIF_ARCHS4_Predictions,12558,16964,200,Misc,TRUE,NA
NIH_Funded_PIs_2017_GeneRIF_ARCHS4_Predictions,5684,17258,200,Misc,TRUE,NA
NIH_Funded_PIs_2017_Human_AutoRIF,12558,13464,45,Misc,TRUE,NA
NIH_Funded_PIs_2017_Human_GeneRIF,5687,13072,26,Misc,TRUE,NA
NURSA_Human_Endogenous_Complexome,1796,10231,158,Pathways,TRUE,NA
Old_CMAP_down,6100,8695,100,Diseases/Drugs,TRUE,NA
Old_CMAP_up,6100,11251,100,Diseases/Drugs,TRUE,NA
OMIM_Disease,90,1759,25,Diseases/Drugs,TRUE,An Online Catalog of Human Genes and Genetic Disorders
OMIM_Expanded,187,2178,89,Diseases/Drugs,TRUE,An Online Catalog of Human Genes and Genetic Disorders
Orphanet_Augmented_2021,3774,17851,102,Diseases/Drugs,TRUE,NA
PanglaoDB_Augmented_2021,178,6654,136,Cell Types,TRUE,PanglaoDB is a database for the scientific community interested in exploration of single cell RNA sequencing experiments from mouse and human.
Panther_2015,104,1918,39,Pathways,FALSE,"PANTHER Pathway consists of over 177, primarily signaling, pathways, each with subfamilies and protein sequences mapped to individual pathway components."
Panther_2016,112,2041,42,Pathways,TRUE,"PANTHER Pathway consists of over 177, primarily signaling, pathways, each with subfamilies and protein sequences mapped to individual pathway components."
Pfam_Domains_2019,608,9000,20,Misc,TRUE,NA
Pfam_InterPro_Domains,311,7588,35,Misc,TRUE,NA
PFOCR_Pathways,17326,12765,13,Pathways,FALSE,Pathway Figure OCR is an open science project dedicated to extracting pathway information from the published literature to be freely used by anyone
PFOCR_Pathways_2023,21845,13662,12,Pathways,TRUE,Pathway Figure OCR is an open science project dedicated to extracting pathway information from the published literature to be freely used by anyone
PhenGenI_Association_2021,950,20414,112,Diseases/Drugs,TRUE,"The Phenotype-Genotype Integrator (PheGenI), merges NHGRI genome-wide association study (GWAS) catalog data with several databases housed at the National Center for Biotechnology Information (NCBI), including Gene, dbGaP, OMIM, eQTL and dbSNP."
PheWeb_2019,1161,9116,22,Diseases/Drugs,TRUE,NA
Phosphatase_Substrates_from_DEPOD,59,280,9,Pathways,TRUE,NA
PPI_Hub_Proteins,385,16399,247,Pathways,TRUE,NA
Proteomics_Drug_Atlas_2023,1748,8220,146,Diseases/Drugs,TRUE,NA
ProteomicsDB_2020,913,8189,421,Cell Types,TRUE,NA
Rare_Diseases_AutoRIF_ARCHS4_Predictions,3725,13787,200,Diseases/Drugs,TRUE,NA
Rare_Diseases_AutoRIF_Gene_Lists,3725,10471,76,Diseases/Drugs,TRUE,NA
Rare_Diseases_GeneRIF_ARCHS4_Predictions,2244,13929,200,Diseases/Drugs,TRUE,GeneRIF: Gene Reference into Function
Rare_Diseases_GeneRIF_Gene_Lists,2244,10352,58,Diseases/Drugs,TRUE,GeneRIF: Gene Reference into Function
Reactome_2013,78,3185,73,Pathways,FALSE,"REACTOME is an open-source, open access, manually curated and peer-reviewed pathway database."
Reactome_2015,1389,6768,47,Pathways,FALSE,"REACTOME is an open-source, open access, manually curated and peer-reviewed pathway database."
Reactome_2016,1530,8973,64,Pathways,FALSE,"REACTOME is an open-source, open access, manually curated and peer-reviewed pathway database."
Reactome_2022,1818,10489,61,Pathways,TRUE,"REACTOME is an open-source, open access, manually curated and peer-reviewed pathway database."
RNA-Seq_Disease_Gene_and_Drug_Signatures_from_GEO,1302,22440,505,Crowd,TRUE,From gene expression omnibus (GEO)
RNAseq_Automatic_GEO_Signatures_Human_Down,4269,26076,250,Crowd,TRUE,From gene expression omnibus (GEO)
RNAseq_Automatic_GEO_Signatures_Human_Up,4269,26338,250,Crowd,TRUE,From gene expression omnibus (GEO)
RNAseq_Automatic_GEO_Signatures_Mouse_Down,4216,25381,250,Crowd,TRUE,From gene expression omnibus (GEO)
RNAseq_Automatic_GEO_Signatures_Mouse_Up,4216,25409,250,Crowd,TRUE,From gene expression omnibus (GEO)
Rummagene_kinases,3810,19178,218,Pathways,TRUE,NA
Rummagene_signatures,11130,19434,369,Crowd,TRUE,NA
Rummagene_transcription_factors,7244,19379,250,Transcription,TRUE,NA
SILAC_Phosphoproteomics,84,5655,342,Transcription,TRUE,"ChEA3 is a web-based TFEA (TF Enrichment analysis) tool. Hence, ChEA3 can aid in identifying the TFs responsible for observed changes in gene expression when comparing control and perturbation samples."
SubCell_BarCode,104,12419,491,Transcription,TRUE,NA
SynGO_2022,118,1198,23,Ontologies,FALSE,Synaptic Gene Ontologies
SynGO_2024,134,1555,27,Ontologies,TRUE,Synaptic Gene Ontologies
SysMyo_Muscle_Gene_Sets,1135,19500,137,Crowd,TRUE,NA
Table_Mining_of_CRISPR_Studies,802,14156,40,Misc,TRUE,NA
Tabula_Muris,106,3857,80,Cell Types,TRUE,"Tabula Muris is a compendium of single cell transcriptome data from the model organism Mus musculus, containing nearly 100,000 cells from 20 organs and tissues."
Tabula_Sapiens,469,1509,100,Cell Types,TRUE,"Tabula Sapiens is a benchmark, first-draft human cell atlas of nearly 500,000 cells from 24 organs of 15 normal human subjects."
TargetScan_microRNA,222,7504,155,Transcription,FALSE,predicted microRNA targets in mammals  
TargetScan_microRNA_2017,683,17598,1208,Transcription,TRUE,predicted microRNA targets in mammals  
TF-LOF_Expression_from_GEO,269,34061,641,Transcription,TRUE,From gene expression omnibus (GEO)
TF_Perturbations_Followed_by_Expression,1958,19741,270,Transcription,TRUE,From gene expression omnibus (GEO)
TG_GATES_2020,1190,12118,448,Diseases/Drugs,TRUE,NA
The_Kinase_Library_2023,303,9021,793,Pathways,TRUE,An atlas of substrate specificities for the human serine/threonine kinome
Tissue_Protein_Expression_from_Human_Proteome_Map,30,6454,301,Cell Types,TRUE,The Human Proteome Map (HPM) portal is an interactive resource to the scientific community by integrating the massive peptide sequencing result from the draft map of the human proteome project.
Tissue_Protein_Expression_from_ProteomicsDB,207,13572,301,Legacy,FALSE,The Human Proteome Map (HPM) portal is an interactive resource to the scientific community by integrating the massive peptide sequencing result from the draft map of the human proteome project.
Transcription_Factor_PPIs,290,6002,77,Transcription,TRUE,NA
TRANSFAC_and_JASPAR_PWMs,326,27884,1284,Transcription,TRUE,NA
TRRUST_Transcription_Factors_2019,571,3264,22,Transcription,TRUE,TRRUST (version 2) is a manually curated database of human and mouse transcriptional regulatory networks.
UK_Biobank_GWAS_v1,857,14148,122,Diseases/Drugs,TRUE,NA
Virus-Host_PPI_P-HIPSTer_2020,6715,5605,39,Pathways,TRUE,NA
Virus_Perturbations_from_GEO_down,323,17576,300,Diseases/Drugs,TRUE,From gene expression omnibus (GEO)
Virus_Perturbations_from_GEO_up,323,17711,300,Diseases/Drugs,TRUE,From gene expression omnibus (GEO)
VirusMINT,85,851,15,Diseases/Drugs,TRUE,NA
WikiPathway_2021_Human,622,7173,43,Pathways,FALSE,"WikiPathways is an open science platform for biological pathways contributed, updated, and used by the research community"
WikiPathway_2023_Human,801,8044,42,Pathways,TRUE,"WikiPathways is an open science platform for biological pathways contributed, updated, and used by the research community"
WikiPathways_2013,199,2854,34,Pathways,FALSE,"WikiPathways is an open science platform for biological pathways contributed, updated, and used by the research community"
WikiPathways_2015,404,5863,51,Pathways,FALSE,"WikiPathways is an open science platform for biological pathways contributed, updated, and used by the research community"
WikiPathways_2016,437,5966,51,Pathways,FALSE,"WikiPathways is an open science platform for biological pathways contributed, updated, and used by the research community"
WikiPathways_2019_Human,472,6201,45,Pathways,FALSE,"WikiPathways is an open science platform for biological pathways contributed, updated, and used by the research community"
WikiPathways_2019_Mouse,176,4558,54,Pathways,TRUE,"WikiPathways is an open science platform for biological pathways contributed, updated, and used by the research community"
